WO Description,WO rem long desc,Cause object
46.1 checklist p10 and p11,completed and changed jib dcv on p10,Directional Valve
replaced dia on d5,replaced dia,Tube
jib not picking tire up out of press,ls19 prox flag loose and not in correct spot for ls19 to make . adjusted flag and tightened down . put press on reheat,Proximity Sensor / Switch
press vibrating when opening,aced d5,Relief Valve
23200-d : kpot-34147790;(+)membrane temp,membrane transducers clogged . replaced transducer tee and cleared out transducer line . put press on reheat,Pressure Gauge / Gauge
23201-n : kpot-87862146;(+)platen temp,changed v2 sol,Solenoid / Coil
23201-n : kpot-34149250;(-)membrane psi,replaced ps7,Pressure switch
23201-n : kpot-34149016;(-)membrane psi,ps7 was blew out,Pressure switch
23201-n : kpot-58060177;(+)extraction,replaced t pipe for transducers,Pipe / Rigid Tubing
replace jib cushon,replaced cushion,Guide Roller
23201-d : kpot-58060277;(+)loading,transducers were dirty . cleaned both and returned press back into service.,Pressure Gauge / Gauge
38.1 checklist,did checklist . didnt find any issues for nsk portion,Hydraulic Cylinder / Jack
jib adjustment,jib 15mm lower than consign already on the pickup height . worker watched it unload with no issues and left the press running.,Shim
23201-d : kpot-41833782;(-)moldback temp,something the co2 guy is doing causes this . kpotted this press and r10 the way right after finished . next cure looks great again.,Relief Valve
23201-d : kpot-03107651;(-)moldback temp,something the mold co2 guy did after cleaning mold,Pressure Gauge / Gauge
23201-d : kpot-18088866;(-)membrane temp,was working on j01 and accidentally turned air off on j02,Solenoid / Coil
n06 uniformity checklist,completed . did not see anything stand out.,Process/CQ-Related
n11 uniformity checklist,"both lid guides were loose in the place, but the lid went into the pan without any issues . put spacers in that and replaced the bolts on one with rounded out heads . was unable to check the centering on the chariot or cover fitment because didn't have any covers in the magazine when called it in, through the end of the shift.",Washer
put membrane and jib precon back to consigne,adjusted to consigne,Membrane
jib wont swing in press,lid wasn't all the way up,Lid
v-02 sms temps too low,moldback orifice had come apart,Orifice
never started reheat count,moldback drain orifice was clogged,Membrane
m/b wont raise,the threaded rod had fallen out,Rod / Bar
23202-n : kpot-51939502;(+)loading,broken lid hook pin,Hood
23202-d : kpot-87862941;(-)moldback temp,replaced sol and oversized orings for oring . blew out the air line to the valve and it started cycling right again,Solenoid / Coil
no precom,ps7 clogged,Pressure switch
l02 hydraulic leak,locking ring fitting loose,Flexible Tubing / Hose
chariot not raising up behind press,air supply for centering cylinder broke . operator loaded the press while worker fixed the hol issue,Shut Off Valve
leak up top,lid lower hose failed due to it bending too much . replaced and added a 90 degree fitting to it.,Pipe / Rigid Tubing
45.2 checklist,did checklist,Terminal block
23202-d : kpot-10577631;(+)extraction,ps7 got clogged . cleaned serpentine and replaced ps7.,Pressure switch
leak det,"fixed leak at the ps7's serpentine . checked v21's, and v23's . replaced membrane shaft seal . replaced v22 . went from 5 bumps to 3-4 bumps.",Pressure Gauge / Gauge
23203-n : kpot-51941026;(+)removed from auto,air line off right side lid hook cylinder,Fitting
u-07 91.1 checklist started,lid speed was too slow and cbo lift was too fast d19 orifice was broken in half,Orifice
cq 45.2,completed checklist,Washer
23203-n : kpot-16585639;(+)extraction,"blown membrane caused extraction failure, tire stuck to lid",Membrane
23203-n : kpot-29223775;(+)extraction,ps7 failed,Pressure switch
23203-d : kpot-71567106;(-)platen temp,"orifice looked like it was clogged temp on oscar . inspected orifice and purge valve . looked good, platen was reading well, turned over to operator",Directional Valve
23203-d : kpot-71567746;(-)platen temp,replaced output card and sol for purge valve,Solenoid / Coil
membrane not wanting to drain,transducers were clogged,Pressure Gauge / Gauge
23203-d : kpot-41835397;(-)membrane psi,operator suspects something funky happened when the plaquette people started the press back up? oscar looked weird and once the operator restarted the press it didn't have any more issues,Washer
23203-d : kpot-88649316;(+)removed from auto,right lid hook cylinder leaking around the shaft . sometimes it would open other times it wouldn't . replaced cylinder,Cylinder / Roll
23203-d : kpot-11042481;(+)loading,jib did not raise after putting cover in . fingers couldn't retract . adjusted membrane height . loaded next cover fine . ls23 wasnt making every time . changed prox out,Limit Switch / Sensor
23204-n : kpot-43560230;(+)membrane temp,v22 orifice was clogged,Orifice
23204-n : kpot-18084074;(+)loading,adj'ed ls6,Limit Switch / Sensor
u-01 cbo lift not going down,d19bis blew off,Fitting
sector wont close real slowly,d19 bis blew off,Flow Control Valve
23204-n : kpot-41835786;(+)extraction,ps7 failed,Pressure switch
23204-n : kpot-41835805;(+)extraction,adj'ed ls1,Limit Switch / Sensor
23351-n : kpot-40274058;(+)extraction,ps7 not made at end of cure . serpentine was clogged and ps7 fitting . cleaned out line and replaced ps7,Pressure switch
23351-n : kpot-33990406;(+)extraction,ps7 serpentine clogged,Pressure switch
45.2 / 46.1 checklist started,no significant issues found,Screw
sector pipe spraying fluid,took pipe to nsk welders.,Pipe / Rigid Tubing
23351-d : kpot-88859648;(-)membrane psi,slow fill,Screw
23351-d : kpot-72646814;(+)extraction,"tire sticking to mold, told operator to spray",Terminal block
too many injections,no significant leak - will continue to monitor,Screw
lid screeching when lowering-,replaced d4 dia,Gasket / Seal / Packing
jib not picking up tire,reset prox on lid hook,Terminal block
lid speed needs adjustment too slow,replaced d1 orifice . timed lid at 126,Orifice
23351-d : kpot-14867596;(+)platen temp,v2 sol stuck on,Solenoid / Coil
23351-d : kpot-52695541;(+)removed from auto,ls 23 prox was unhooked,Finger
91.1-o checklist-,"checked grinder 11, the plunger had some build up on it",Screw
speed correction,replaced orfice,Orifice
23351-d : kpot-80500615;(+)extraction,operator re-fired press,Terminal block
cq 44.1,repaired air leaks in basement greased press,Clevis
"lid/cbo speeds off for nano- lid @ 155/ cbo @ 30- now cbo wont raise in ""dt code 2",sectors wouldn't go up because there was a piece of old gasket clogging the orifice,Orifice
lid jumping in and out of hooks,replaced d2 sol and tightened ps4 cap,Solenoid / Coil
23351-d : kpot-44419496;(+)loading,membrane burst,Membrane
"membrane circuit, orifice, transducers- t2 is showing out again for 45.2/46.1","no one called this in, no apparent issue",POST / STUD
h-04 won't load,ls15 was out of position,Photocell
23352-n : kpot-33990781;(+)extraction,clogged ps7,Pressure switch
45.1 chekclist,everything was good except it never went to high speed lower . found d3 bis diaphragm leaking . replaced and it started lowering in high speed.,Diaphragm
jib fingers need adjustment keep dropping cover behind press,adjusted fingers,Finger
23352-n : kpot-64820103;(+)platen temp,platen pressure and temp spiked for a few seconds before going back to normal and not returning for at least an hour of constant cycling . crew 4 refired the press after the anomaly did not return,Pressure Gauge / Gauge
23352-n : kpot-54309443;(+)consecutive l1s,told operator to change membrane,Terminal block
rtd card has failed,replaced the rtd card in slot 14,PLC / PLC Cards
23352-d : kpot-16575403;(+)extraction,operator re-fired press,Terminal block
uniformity checklist,q took it over,Screw
45.2/72.1 on 12/19- please complete checklist- membrane not vaccuming properly,completed checklist,Lid
plc fault,replaced power supply and crumbled power supply bracket.,Power Supply
23352-d : kpot-54309657;(+)platen temp,operators fired it back up after the kpot,POST / STUD
23352-d : kpot-15685618;(-)platen temp,welders locked out the wrong press,POST / STUD
23352-d : kpot-88861017;(+)consecutive l1s,platen purge valve was leaking through,Directional Valve
e-03 lid leak,lid fitting was loose,Fitting
check to see if the bead lift is working,day shift resolved,Tube
23352-d : kpot-64823533;(+)loading,precon height was way off,Eccentric
replace jib raise lower cyl,replaced cyl,Rod / Bar
cover wont load,replaced d1 diaphragm (lid wouldnt lower on reheat) cover loaded fine for.,Terminal block
uniformity checklist,completed checklist,Lid
m/b will not drain all the way,had to clear the transducer line,Pressure switch
pick up height needs adjustment,adjusted flag for ls20.,Limit Switch / Sensor
jib no swing,transduce y clogged . cleared and loaded press,Directional Valve
23353-n : kpot-76818086;(+)extraction,clogged ps7 and line . cleared out line and replaced ps7,Pressure switch
23353-n : kpot-76818119;(+)extraction,clogged ps7 serpentine.,Pressure switch
23353-n : kpot-58139145;(-)membrane temp,no pager call . operator started press back up.,POST / STUD
23353-n : kpot-58139174;(-)membrane temp,2nd kpot . ran some bypasses . found a clogged v22 orifice.,Orifice
membrane not at precon height,precon height 20mm too low . adjusted to correct height and returned to service,Membrane
sector wont lower,lowered fine . checked on valves . found d19 diaphragm leaking a little bit . replaced it.,Fitting
23353-d : kpot-40273877;(+)dsp duration,replaced v21e actuator . blowing by,Directional Valve
23353-d : kpot-87085184;(+)dsp duration,replaced right v21,Shut Off Valve
23353-d : kpot-40273869;(+)dsp duration,replaced right v21,Shut Off Valve
replace d7,replaced d7 d1 dia d4 dia d13 dia,Tube
"locking ring collar tightened,membrane inflation orfice replaced,front left pan seal stud sticking up replaced",tightened locking ring km nut and changed grease seal stud and checked orifice.,Orifice
complete cq 35.2 checklist,"completed check list, removed pan stud that possibly was in the way . tightened km nut for lr and checked all items on list . worker would swap molds for d10 and d11 to see if issue follows",Washer
23354-n : kpot-15683272;(+)extraction,tire stuck to mold . had operator spray mold,Process/CQ-Related
23354-n : kpot-64819584;(-)membrane psi,had operator replace membrane,Membrane
23354-n : kpot-18298282;(+)extraction,tire stuck to mold . had operator spray mold,Process/CQ-Related
6 dia leaking,replaced dia,Tube
lights go out when tring to spray press,lid raise flag loose,Screw
dim change cycle time correctio,replaced orfices,Nut
d14 air line leaking,replaced fitting,Tube
23354-d : kpot-40276223;(+)extraction,replaced ps7,Pressure switch
23354-d : kpot-36064016;(+)extraction,ls1 didn't make . adjusted,Proximity Sensor / Switch
uniformity checklist,"checklist complete, no abnormalities found.",Washer
press wont load,ps7 clogged . changed ps7 and cleared out serpentine,Steam
press wont load,replaced ls15 cable,Wire
23355-n : kpot-16575892;(+)removed from auto,replaced ls6 head,Limit Switch / Sensor
23355-n : kpot-87086668;(-)membrane psi,membrane blew . had operator change membrane,Membrane
"check transducers and membrane inflation orfice,please",transducers are clear,Pressure switch
bead lift not lifting tires up from sectors,found nothing wrong with bead lift.,Terminal block
23355-d : kpot-87086922;(-)membrane psi,membrane failed,Membrane
23355-d : kpot-87086973;(-)membrane psi,membrane o-ring wasn't changed with the last kpot membrane,O-Ring
23355-d : kpot-52783866;(+)dsp duration,v21e was loose,Washer
convert the lid only to micro speed for 91.1o study,made lid raise orifice bigger,Orifice
23355-d : kpot-14868301;(+)extraction,d1 diaphragm leaking . replaced and the press opened up,Diaphragm
